platform,display_name,match_kind,match_value,publisher_cn,category,sensitivity,default_max_minutes,enabled,source,notes
windows,Command Prompt,path,C:\Windows\System32\cmd.exe,CN=Microsoft Windows,shells,high,30,true,aic-original,Windows command shell
windows,Windows PowerShell,path,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,CN=Microsoft Windows,shells,high,30,true,aic-original,Windows PowerShell host
windows,PowerShell 7,path,C:\Program Files\PowerShell\7\pwsh.exe,CN=Microsoft Corporation,shells,high,30,true,aic-original,Cross-platform PowerShell
windows,Windows Terminal,path,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_*\WindowsTerminal.exe,CN=Microsoft Corporation,shells,medium,60,true,aic-original,Modern console host
windows,Registry Editor,path,C:\Windows\System32\regedit.exe,CN=Microsoft Windows,admin-tools,high,15,true,aic-original,Registry UI
windows,reg.exe,path,C:\Windows\System32\reg.exe,CN=Microsoft Windows,admin-tools,high,15,true,aic-original,Registry CLI
windows,certutil.exe,path,C:\Windows\System32\certutil.exe,CN=Microsoft Windows,admin-tools,critical,10,true,aic-original,Certificate utility
windows,msiexec.exe,path,C:\Windows\System32\msiexec.exe,CN=Microsoft Windows,installers,high,30,true,aic-original,Windows Installer
windows,mshta.exe,path,C:\Windows\System32\mshta.exe,CN=Microsoft Windows,script-hosts,critical,10,true,aic-original,HTML application host
windows,wscript.exe,path,C:\Windows\System32\wscript.exe,CN=Microsoft Windows,script-hosts,critical,10,true,aic-original,Windows Script Host
windows,cscript.exe,path,C:\Windows\System32\cscript.exe,CN=Microsoft Windows,script-hosts,critical,10,true,aic-original,Console Script Host
windows,rundll32.exe,path,C:\Windows\System32\rundll32.exe,CN=Microsoft Windows,script-hosts,critical,10,true,aic-original,DLL entry runner
windows,regsvr32.exe,path,C:\Windows\System32\regsvr32.exe,CN=Microsoft Windows,admin-tools,critical,10,true,aic-original,COM registration
windows,cmstp.exe,path,C:\Windows\System32\cmstp.exe,CN=Microsoft Windows,admin-tools,critical,10,true,aic-original,Connection Manager profile
windows,control.exe,path,C:\Windows\System32\control.exe,CN=Microsoft Windows,admin-tools,medium,30,true,aic-original,Control Panel
windows,mmc.exe,path,C:\Windows\System32\mmc.exe,CN=Microsoft Windows,admin-tools,high,30,true,aic-original,Microsoft Management Console
windows,taskmgr.exe,path,C:\Windows\System32\Taskmgr.exe,CN=Microsoft Windows,admin-tools,medium,30,true,aic-original,Task Manager
windows,services.msc,path,C:\Windows\System32\services.msc,CN=Microsoft Windows,admin-tools,high,30,true,aic-original,Services snap-in
windows,net.exe,path,C:\Windows\System32\net.exe,CN=Microsoft Windows,admin-tools,high,15,true,aic-original,Network accounts CLI
windows,netsh.exe,path,C:\Windows\System32\netsh.exe,CN=Microsoft Windows,admin-tools,high,15,true,aic-original,Network shell
windows,sc.exe,path,C:\Windows\System32\sc.exe,CN=Microsoft Windows,admin-tools,critical,10,true,aic-original,Service Control
windows,schtasks.exe,path,C:\Windows\System32\schtasks.exe,CN=Microsoft Windows,admin-tools,critical,10,true,aic-original,Scheduled tasks
windows,bitsadmin.exe,path,C:\Windows\System32\bitsadmin.exe,CN=Microsoft Windows,admin-tools,high,15,true,aic-original,BITS admin
windows,wmic.exe,path,C:\Windows\System32\wbem\wmic.exe,CN=Microsoft Windows,admin-tools,high,15,true,aic-original,WMI CLI (legacy)
windows,Disk Management,path,C:\Windows\System32\diskmgmt.msc,CN=Microsoft Windows,admin-tools,high,30,true,aic-original,Disk MMC
windows,Computer Management,path,C:\Windows\System32\compmgmt.msc,CN=Microsoft Windows,admin-tools,high,30,true,aic-original,Computer Management MMC
windows,Event Viewer,path,C:\Windows\System32\eventvwr.msc,CN=Microsoft Windows,admin-tools,medium,60,true,aic-original,Event Viewer
windows,Microsoft Edge,path,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,CN=Microsoft Corporation,browsers,medium,120,true,aic-original,Edge browser
windows,Google Chrome,path,C:\Program Files\Google\Chrome\Application\chrome.exe,CN=Google LLC,browsers,medium,120,true,aic-original,Chrome browser
windows,Mozilla Firefox,path,C:\Program Files\Mozilla Firefox\firefox.exe,CN=Mozilla Corporation,browsers,medium,120,true,aic-original,Firefox browser
